title,release_year,parental_rating,movie_duration,movie_rating,description,genres,budget,gross_na,gross_worldwide
Dead Poets Society,1989,PG,2h 8m,8.1,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of sel...","Comedy,Drama","$16,400,000 (estimated)","$95,860,116","$235,860,116"
Wild Tales,2014,R,2h 2m,8.1,Six short stories that explore the extremities of human behavior involving people in distress.,"Comedy,Drama,Thriller","$3,300,000 (estimated)","$3,106,530","$31,478,893"
In the Name of the Father,1993,R,2h 13m,8.1,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free t...","Biography,Crime,Drama","$13,000,000 (estimated)","$25,096,862","$65,796,862"
The Gold Rush,1925,Approved,1h 35m,8.1,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.","Adventure,Comedy,Drama","$923,000 (estimated)","$31,490","$31,490"
Memories of Murder,2003,Not Rated,2h 12m,8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Crime,Drama,Mystery","$2,800,000 (estimated)","$15,357","$1,208,481"
Before Sunrise,1995,R,1h 41m,8.1,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Drama,Romance","$2,500,000 (estimated)","$5,535,405","$5,992,863"
Hacksaw Ridge,2016,R,2h 19m,8.1,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor wit...","Biography,Drama,History","$40,000,000 (estimated)","$67,209,615","$180,563,636"
Barry Lyndon,1975,PG,3h 5m,8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"Adventure,Drama,War","$11,000,000 (estimated)","$260,131","$260,131"
Ben-Hur,1959,G,3h 32m,8.1,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.","Adventure,Drama","$15,000,000 (estimated)","$74,432,704","$74,437,981"
Gone Girl,2014,R,2h 29m,8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","Drama,Mystery,Thriller","$61,000,000 (estimated)","$167,767,189","$369,330,536"
The Grand Budapest Hotel,2014,R,1h 39m,8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","Adventure,Comedy,Crime","$25,000,000 (estimated)","$59,301,324","$174,567,384"
Children of Heaven,1997,PG,1h 29m,8.2,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","Drama,Family,Sport","$180,000 (estimated)","$933,933","$933,933"
12 Years a Slave,2013,R,2h 14m,8.1,"In the antebellum United States, Solomon Northup, a free Black man from upstate New York, is abducted and sold into slavery.","Biography,Drama,History","$20,000,000 (estimated)","$56,671,993","$187,734,091"
Blade Runner,1982,R,1h 57m,8.1,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"Action,Drama,Sci-Fi","$28,000,000 (estimated)","$32,914,489","$41,754,158"
My Neighbor Totoro,1988,G,1h 26m,8.1,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","Animation,Comedy,Family","$3,700,000 (estimated)","$2,250,213","$30,695,952"
Gran Torino,2008,R,1h 56m,8.1,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",Drama,"$33,000,000 (estimated)","$148,095,302","$269,958,228"
Million Dollar Baby,2004,PG-13,2h 12m,8.1,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close...","Drama,Sport","$30,000,000 (estimated)","$100,492,203","$216,763,646"
Warrior,2011,PG-13,2h 20m,8.1,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision ...","Action,Drama,Sport","$25,000,000 (estimated)","$13,657,115","$23,308,615"
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,2h 10m,8.1,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","Adventure,Family,Fantasy","$125,000,000 (estimated)","$381,447,587","$1,356,962,211"
Godzilla Minus One,2023,PG-13,2h 4m,8.3,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.","Action,Adventure,Drama","$15,000,000 (estimated)","$56,418,793","$115,869,952"
Catch Me If You Can,2002,PG-13,2h 21m,8.1,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","Biography,Crime,Drama","$52,000,000 (estimated)","$164,615,351","$352,114,312"
Trainspotting,1996,R,1h 33m,8.1,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",Drama,"£1,500,000 (estimated)","$16,491,080","$16,787,952"
Klaus,2019,PG,1h 36m,8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliv...","Animation,Adventure,Comedy","$40,000,000 (estimated)","$40,000,000 (estimated)","$40,000,000 (estimated)"
The Bridge on the River Kwai,1957,PG,2h 41m,8.1,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid t...","Adventure,Drama,War","$3,000,000 (estimated)","$27,200,000","$27,200,463"
Spider-Man: No Way Home,2021,PG-13,2h 28m,8.2,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it trul...","Action,Adventure,Fantasy","$200,000,000 (estimated)","$814,115,070","$1,921,847,111"
Raging Bull,1980,R,2h 9m,8.1,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Biography,Drama,Sport","$18,000,000 (estimated)","$23,383,987","$23,406,933"
Inside Out,2015,PG,1h 35m,8.1,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and...","Animation,Adventure,Comedy","$175,000,000 (estimated)","$356,921,711","$858,852,998"
"Lock, Stock and Two Smoking Barrels",1998,R,1h 47m,8.1,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.","Action,Comedy,Crime","£960,000 (estimated)","$3,753,929","$3,753,929"
Fargo,1996,R,1h 38m,8.1,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Crime,Thriller","$7,000,000 (estimated)","$24,611,975","$60,611,975"
The Secret in Their Eyes,2009,R,2h 9m,8.2,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt hi...,"Drama,Mystery,Romance","$2,000,000 (estimated)","$6,391,436","$35,079,650"
"Three Billboards Outside Ebbing, Missouri",2017,R,1h 55m,8.1,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"Comedy,Crime,Drama","$15,000,000 (estimated)","$54,513,740","$162,729,321"
Gone with the Wind,1939,G,3h 58m,8.2,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civi...,"Drama,Romance,War","$3,977,000 (estimated)","$200,882,193","$402,382,193"
The Elephant Man,1980,PG,2h 4m,8.2,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, inte...","Biography,Drama","$5,000,000 (estimated)","$26,010,864","$26,028,672"
V for Vendetta,2005,R,2h 12m,8.2,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.","Action,Drama,Sci-Fi","$54,000,000 (estimated)","$70,511,035","$134,686,457"
Prisoners,2013,R,2h 33m,8.2,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Crime,Drama,Mystery","$46,000,000 (estimated)","$61,002,302","$122,127,446"
Dial M for Murder,1954,PG,1h 45m,8.2,A former tennis star arranges the murder of his adulterous wife.,"Crime,Thriller","$1,400,000 (estimated)","$24,845","$43,308"
Chinatown,1974,R,2h 10m,8.1,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","Drama,Mystery,Thriller","$6,000,000 (estimated)","$29,200,000","$29,229,859"
Finding Nemo,2003,G,1h 40m,8.2,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Animation,Adventure,Comedy","$94,000,000 (estimated)","$380,843,261","$941,637,960"
Howl's Moving Castle,2004,PG,1h 59m,8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions ...","Animation,Adventure,Family","$24,000,000 (estimated)","$6,789,268","$237,728,734"
Rashomon,1950,Not Rated,1h 28m,8.2,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Crime,Drama,Mystery","$250,000 (estimated)","$46,808","$117,668"
The Great Escape,1963,Approved,2h 52m,8.2,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"Adventure,Drama,Thriller","$4,000,000 (estimated)","$230,637","$230,637"
Kill Bill: Vol. 1,2003,R,1h 51m,8.2,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Action,Crime,Thriller","$30,000,000 (estimated)","$70,099,045","$180,908,413"
The Treasure of the Sierra Madre,1948,Approved,2h 6m,8.2,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"Adventure,Drama,Western","$3,000,000 (estimated)","$5,014,000","$5,014,000"
The Thing,1982,R,1h 49m,8.2,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Horror,Mystery,Sci-Fi","$15,000,000 (estimated)","$19,857,465","$19,872,469"
Monty Python and the Holy Grail,1975,PG,1h 31m,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Adventure,Comedy,Fantasy","£229,575 (estimated)","$2,562,392","$2,812,669"
A Beautiful Mind,2001,PG-13,2h 15m,8.2,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a...","Biography,Drama,Mystery","$58,000,000 (estimated)","$170,742,341","$316,791,257"
Yojimbo,1961,Not Rated,1h 50m,8.2,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Action,Drama,Thriller","$46,808","$15,942","$46,808"
The Sixth Sense,1999,PG-13,1h 47m,8.2,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wi...","Drama,Mystery,Thriller","$40,000,000 (estimated)","$293,506,292","$672,806,432"
Jurassic Park,1993,PG-13,2h 7m,8.2,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned din...,"Action,Adventure,Sci-Fi","$63,000,000 (estimated)","$407,185,075","$1,114,456,337"
Unforgiven,1992,R,2h 10m,8.2,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","Drama,Western","$14,400,000 (estimated)","$101,167,799","$159,167,799"
Pan's Labyrinth,2006,R,1h 58m,8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Drama,Fantasy,War","$19,000,000 (estimated)","$37,646,380","$83,863,565"
There Will Be Blood,2007,R,2h 38m,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Drama,"$25,000,000 (estimated)","$40,222,514","$76,186,224"
No Country for Old Men,2007,R,2h 2m,8.2,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,"Crime,Drama,Thriller","$25,000,000 (estimated)","$74,283,625","$171,632,777"
Casino,1995,R,2h 58m,8.2,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.","Crime,Drama","$52,000,000 (estimated)","$42,512,375","$116,112,375"
Shutter Island,2010,R,2h 18m,8.2,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about th...","Drama,Mystery,Thriller","$80,000,000 (estimated)","$128,012,934","$294,850,027"
Top Gun: Maverick,2022,PG-13,2h 10m,8.2,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ...","Action,Drama","$170,000,000 (estimated)","$718,732,821","$1,495,696,292"
The Father,2020,PG-13,1h 37m,8.2,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his...","Drama,Mystery","$6,000,000 (estimated)","$2,122,771","$24,048,935"
All About Eve,1950,Approved,2h 18m,8.2,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Drama,"$1,400,000 (estimated)","$63,463","$152,366"
The Kid,1921,Passed,1h 8m,8.2,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.","Comedy,Drama,Family","$250,000 (estimated)","$41,979","$41,979"
The Truman Show,1998,PG,1h 43m,8.2,An insurance salesman discovers his whole life is actually a reality TV show.,"Comedy,Drama","$60,000,000 (estimated)","$125,618,201","$264,118,712"
Judgment at Nuremberg,1961,Approved,2h 59m,8.3,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","Drama,War","$3,000,000 (estimated)","$12,180","$12,180"
Ran,1985,R,2h 40m,8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn o...","Action,Drama,War","$11,500,000 (estimated)","$4,135,750","$4,166,319"
Some Like It Hot,1959,Approved,2h 1m,8.2,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Comedy,Music,Romance","$2,883,848 (estimated)","$200,234","$200,234"
For a Few Dollars More,1965,R,2h 12m,8.2,"Two bounty hunters with the same intentions team up to track down a gang of outlaws led by a psychotic Mexican bandit, who is plotting an audacious bank robbery.","Drama,Western","$600,000 (estimated)","$15,000,000","$15,000,000"
The Wolf of Wall Street,2013,R,3h,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Biography,Comedy,Crime","$100,000,000 (estimated)","$116,900,694","$407,039,432"
Green Book,2018,PG-13,2h 10m,8.2,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,"Biography,Comedy,Drama","$23,000,000 (estimated)","$85,080,171","$321,752,656"
Downfall,2004,R,2h 36m,8.2,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Biography,Drama,History","€13,500,000 (estimated)","$5,509,040","$92,181,574"
Batman Begins,2005,PG-13,2h 20m,8.2,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the ci...","Action,Crime,Drama","$150,000,000 (estimated)","$206,863,479","$375,325,692"
L.A. Confidential,1997,R,2h 18m,8.2,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","Crime,Drama,Mystery","$35,000,000 (estimated)","$64,616,940","$126,216,940"
Snatch,2000,R,1h 42m,8.2,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Comedy,Crime","£6,000,000 (estimated)","$30,328,156","$83,557,872"
Metropolis,1927,Not Rated,2h 33m,8.3,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a...","Drama,Sci-Fi","DEM 6,000,000 (estimated)","$1,236,166","$1,349,711"
1917,2019,R,1h 59m,8.2,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from wa...","Action,Drama,War","$95,000,000 (estimated)","$159,227,644","$384,580,017"
Bicycle Thieves,1948,Not Rated,1h 29m,8.3,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Drama,"$133,000 (estimated)","$371,111","$450,159"
Taxi Driver,1976,R,1h 54m,8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Crime,Drama","$1,300,000 (estimated)","$28,262,574","$28,579,636"
Like Stars on Earth,2007,PG,2h 42m,8.3,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Drama,Family","$1,223,869","$352,568","$21,897,373"
Indiana Jones and the Last Crusade,1989,PG-13,2h 7m,8.2,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.","Action,Adventure","$48,000,000 (estimated)","$197,171,806","$474,171,806"
Dangal,2016,Not Rated,2h 41m,8.3,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Action,Biography,Drama","₹700,000,000 (estimated)","$12,391,761","$303,723,636"
To Kill a Mockingbird,1962,Approved,2h 9m,8.3,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.","Crime,Drama","$2,000,000 (estimated)","$592,237","$599,146"
A Separation,2011,PG-13,2h 3m,8.3,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzhei...,Drama,"$500,000 (estimated)","$7,099,055","$22,926,076"
Die Hard,1988,R,2h 12m,8.2,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"Action,Thriller","$28,000,000 (estimated)","$85,892,546","$143,651,650"
Up,2009,PG,1h 36m,8.3,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Animation,Adventure,Comedy","$175,000,000 (estimated)","$293,004,164","$735,102,136"
Full Metal Jacket,1987,R,1h 56m,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Drama,War","$30,000,000 (estimated)","$46,357,676","$46,361,894"
Scarface,1983,R,2h 50m,8.3,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","Crime,Drama","$50,000,000 (estimated)","$45,967,303","$66,443,303"
Amélie,2001,R,2h 2m,8.3,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.","Comedy,Romance","$10,000,000 (estimated)","$33,712,444","$174,917,271"
A Clockwork Orange,1971,R,2h 16m,8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","Crime,Sci-Fi","$2,200,000 (estimated)","$26,617,553","$27,023,100"
Double Indemnity,1944,Approved,1h 47m,8.3,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigato...","Crime,Drama,Film-Noir","$927,262 (estimated)","$19,324","$19,324"
Heat,1995,R,2h 50m,8.3,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,"Action,Crime,Drama","$60,000,000 (estimated)","$67,436,818","$187,436,818"
The Sting,1973,PG,2h 9m,8.3,Two grifters team up to pull off the ultimate con.,"Comedy,Crime,Drama","$5,500,000 (estimated)","$156,000,000","$156,000,000"
Incendies,2010,R,2h 11m,8.3,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"Drama,Mystery,War","$6,800,000 (estimated)","$2,071,334","$6,797,861"
North by Northwest,1959,Approved,2h 16m,8.3,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","Action,Adventure,Mystery","$3,101,000 (estimated)","$66,728","$149,688"
M,1931,Passed,1h 39m,8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","Crime,Mystery,Thriller","$35,566","$6,123","$35,566"
Ikiru,1952,Not Rated,2h 23m,8.3,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Drama,"$60,239","$2,149","$96,302"
Vertigo,1958,PG,2h 8m,8.3,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply dis...","Mystery,Romance,Thriller","$2,479,000 (estimated)","$7,705,225","$7,804,803"
Lawrence of Arabia,1962,PG,3h 38m,8.3,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","Adventure,Biography,Drama","$15,000,000 (estimated)","$45,306,425","$45,748,322"
The Apartment,1960,Approved,2h 5m,8.3,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","Comedy,Drama,Romance","$3,000,000 (estimated)","$18,600,000","$18,778,738"
Reservoir Dogs,1992,R,1h 39m,8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Crime,Thriller","$1,200,000 (estimated)","$2,832,029","$2,930,208"
Eternal Sunshine of the Spotless Mind,2004,R,1h 48m,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.","Drama,Romance,Sci-Fi","$20,000,000 (estimated)","$34,400,301","$73,390,334"
Citizen Kane,1941,PG,1h 59m,8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","Drama,Mystery","$839,727 (estimated)","$1,627,530","$1,702,325"
2001: A Space Odyssey,1968,G,2h 29m,8.3,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.","Adventure,Sci-Fi","$12,000,000 (estimated)","$60,481,243","$66,617,663"
Oppenheimer,2023,R,3h,8.3,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,"Biography,Drama,History","$100,000,000 (estimated)","$329,862,540","$971,337,540"
The Hunt,2012,R,1h 55m,8.3,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to...",Drama,"DKK 20,000,000 (estimated)","$613,308","$15,886,373"
Toy Story 3,2010,G,1h 43m,8.3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned ...","Animation,Adventure,Comedy","$200,000,000 (estimated)","$415,004,880","$1,067,316,101"
Come and See,1985,Not Rated,2h 22m,8.4,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Drama,Thriller,War","$71,909","$16,053","$20,929,648"
Star Wars: Episode VI - Return of the Jedi,1983,PG,2h 11m,8.3,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.","Action,Adventure,Fantasy","$32,500,000 (estimated)","$316,566,101","$475,106,177"
Capernaum,2018,R,2h 6m,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Drama,"$4,000,000 (estimated)","$1,661,096","$64,417,003"
3 Idiots,2009,PG-13,2h 50m,8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t...","Comedy,Drama","₹550,000,000 (estimated)","$6,532,874","$60,262,836"
Singin' in the Rain,1952,G,1h 43m,8.3,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Comedy,Musical,Romance","$2,540,800 (estimated)","$1,884,537","$2,010,042"
Requiem for a Dream,2000,NC-17,1h 42m,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..,Drama,"$4,500,000 (estimated)","$3,635,482","$7,390,108"
High and Low,1963,Not Rated,2h 23m,8.4,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,"Crime,Drama,Mystery","$46,808","$15,942","$46,808"
Good Will Hunting,1997,R,2h 6m,8.3,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","Drama,Romance","$10,000,000 (estimated)","$138,433,435","$225,933,435"
Once Upon a Time in America,1984,R,3h 49m,8.3,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","Crime,Drama","$30,000,000 (estimated)","$5,321,508","$5,475,086"
Braveheart,1995,R,2h 58m,8.3,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"Biography,Drama,War","$72,000,000 (estimated)","$75,609,945","$213,216,216"
Joker,2019,R,2h 2m,8.4,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.","Crime,Drama,Thriller","$55,000,000 (estimated)","$335,477,657","$1,078,958,629"
Avengers: Endgame,2019,PG-13,3h 1m,8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' action...","Action,Adventure,Drama","$356,000,000 (estimated)","$858,373,000","$2,799,439,100"
Princess Mononoke,1997,PG-13,2h 14m,8.3,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, th...","Animation,Action,Adventure","¥2,400,000,000 (estimated)","$4,845,631","$170,203,602"
Coco,2017,PG,1h 45m,8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Animation,Adventure,Drama","$175,000,000 (estimated)","$210,460,015","$814,337,054"
Toy Story,1995,G,1h 21m,8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,"Animation,Adventure,Comedy","$30,000,000 (estimated)","$223,225,679","$394,436,586"
Amadeus,1984,PG,2h 40m,8.4,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him...","Biography,Drama,Music","$18,000,000 (estimated)","$51,973,029","$52,068,956"
Oldboy,2003,R,2h,8.3,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.","Action,Drama,Mystery","$3,000,000 (estimated)","$2,458,200","$17,542,965"
